id,clave,nombre
cve_clave_unidad1,Tu,Contenedor externo
cve_clave_unidad2,X1A,Tambor de acero
cve_clave_unidad3,X1B,Tambor de aluminio
cve_clave_unidad4,X1D,Tambor contrachapado
cve_clave_unidad5,X1F,Contenedor flexible
cve_clave_unidad6,X1G,Tambor de fibra
cve_clave_unidad7,X1w,Tambor de madera
cve_clave_unidad8,X2C,Barril de madera
cve_clave_unidad9,X3A,Bidón de acero
cve_clave_unidad10,X3H,Bidón de plástico
cve_clave_unidad11,X43,Bolsa de gran tamaño
cve_clave_unidad12,X44,Bolsa de plástico
cve_clave_unidad13,X4A,Caja de acero
cve_clave_unidad14,X4B,Caja de aluminio
cve_clave_unidad15,X4C,Caja de  madera natural
cve_clave_unidad16,X4D,Caja de contrachapado
cve_clave_unidad17,X4F,Caja de madera reconstituida
cve_clave_unidad18,X4G,Caja de cartón
cve_clave_unidad19,X4H,Caja de plástico
cve_clave_unidad20,X5H,Bolsa de plástico tejido
cve_clave_unidad21,X5L,Bolsa textil
cve_clave_unidad22,X5M,Bolsa de papel
cve_clave_unidad23,X6H,"Recipiente de plástico, Contenedor compuesto."
cve_clave_unidad24,X6P,"Recipiente de vidrio, Contenedor compuesto."
cve_clave_unidad25,X7A,Estuche para carro
cve_clave_unidad26,X7B,Estuche de madera
cve_clave_unidad27,X8A,Pallet de madera
cve_clave_unidad28,X8B,Cajón de madera
cve_clave_unidad29,X8C,Madera flejada
cve_clave_unidad30,XAA,Contenedor intermedio  para gráneles de plástico rígido
cve_clave_unidad31,XAB,Contenedor de fibra
cve_clave_unidad32,XAC,Contenedor de papel
cve_clave_unidad33,XAD,Contenedor de madera
cve_clave_unidad34,XAE,Aerosol
cve_clave_unidad35,XAF,"Pallet modular con collares,  80cms * 60cms"
cve_clave_unidad36,XAG,Pallet o empaquetado
cve_clave_unidad37,XAH,"Pallet, 100cms X 110cms"
cve_clave_unidad38,XAI,Contenedor tipo concha
cve_clave_unidad39,XAJ,Cono
cve_clave_unidad40,XAL,Esfera
cve_clave_unidad41,XAM,Ampolleta no protegida
cve_clave_unidad42,XAP,Ampolleta protegida
cve_clave_unidad43,XAT,Atomizador
cve_clave_unidad44,XAV,Cápsula
cve_clave_unidad45,XB4,Cinturón
cve_clave_unidad46,XBA,Barril
cve_clave_unidad47,XBB,Bobina
cve_clave_unidad48,XBC,Cajón para botellas / Estante para botellas
cve_clave_unidad49,XBD,Tablero
cve_clave_unidad50,XBE,Flejado
cve_clave_unidad51,XBF,Globo no protegido
cve_clave_unidad52,XBG,Bolso
cve_clave_unidad53,XBH,Manojo
cve_clave_unidad54,XBI,Compartimiento
cve_clave_unidad55,XBJ,Cubeta
cve_clave_unidad56,XBK,Cesta
cve_clave_unidad57,XBL,Paca comprimida
cve_clave_unidad58,XBM,Cuenco
cve_clave_unidad59,XBN,Paca no comprimida
cve_clave_unidad60,XBO,Botella no-protegida y cilíndrica
cve_clave_unidad61,XBP,Globo protegido
cve_clave_unidad62,XBQ,Botella cilíndrica protegida
cve_clave_unidad63,XBR,Barra
cve_clave_unidad64,XBS,"Botella, no-protegida en forma de bulbo"
