id,table_id/id,name,description,percent,from_date,to_date,doc_serie_lenght,doc_serie_lenght_fixed,doc_number_lenght,doc_number_lenght_fixed,active
l10n_pe_oxe360.1092,l10n_pe_oxe360.pe_sunat_ple_table01,1,DEPÓSITO EN CUENTA,0,,,0,False,0,False,True
l10n_pe_oxe360.1093,l10n_pe_oxe360.pe_sunat_ple_table01,2,GIRO,0,,,0,False,0,False,True
l10n_pe_oxe360.1094,l10n_pe_oxe360.pe_sunat_ple_table01,3,TRANSFERENCIA DE FONDOS,0,,,0,False,0,False,True
l10n_pe_oxe360.1095,l10n_pe_oxe360.pe_sunat_ple_table01,4,ORDEN DE PAGO,0,,,0,False,0,False,True
l10n_pe_oxe360.1096,l10n_pe_oxe360.pe_sunat_ple_table01,5,TARJETA DE DÉBITO,0,,,0,False,0,False,True
l10n_pe_oxe360.1097,l10n_pe_oxe360.pe_sunat_ple_table01,6,TARJETA DE CRÉDITO EMITIDA EN EL PAÍS POR UNA EMPRESA DEL SISTEMA FINANCIERO,0,,,0,False,0,False,True
l10n_pe_oxe360.1098,l10n_pe_oxe360.pe_sunat_ple_table01,7,"CHEQUES CON LA CLÁUSULA DE 'NO NEGOCIABLE', 'INTRANSFERIBLES', 'NO A LA ORDEN' U OTRA EQUIVALENTE, A QUE SE REFIERE EL INCISO G) DEL ARTICULO 5° DE LA LEY",0,,,0,False,0,False,True
l10n_pe_oxe360.1099,l10n_pe_oxe360.pe_sunat_ple_table01,8,"EFECTIVO, POR OPERACIONES EN LAS QUE NO EXISTE OBLIGACIÓN DE UTILIZAR MEDIO DE PAGO",0,,,0,False,0,False,True
l10n_pe_oxe360.1100,l10n_pe_oxe360.pe_sunat_ple_table01,9,"EFECTIVO, EN LOS DEMÁS CASOS",0,,,0,False,0,False,True
l10n_pe_oxe360.1101,l10n_pe_oxe360.pe_sunat_ple_table01,10,MEDIOS DE PAGO USADOS EN COMERCIO EXTERIOR,0,,,0,False,0,False,True
l10n_pe_oxe360.1102,l10n_pe_oxe360.pe_sunat_ple_table01,11,DOCUMENTOS EMITIDOS POR LAS EDPYMES Y LAS COOPERATIVAS DE AHORRO Y CRÉDITO NO AUTORIZADAS A CAPTAR DEPÓSITOS DEL PÚBLICO,0,,,0,False,0,False,True
l10n_pe_oxe360.1103,l10n_pe_oxe360.pe_sunat_ple_table01,12,"TARJETA DE CRÉDITO EMITIDA EN EL PAÍS O EN EL EXTERIOR POR UNA EMPRESA NO PERTENECIENTE AL SISTEMA FINANCIERO, CUYO OBJETO PRINCIPAL SEA LA EMISIÓN Y ADMINISTRACIÓN DE TARJETAS DE CRÉDITO",0,,,0,False,0,False,True
l10n_pe_oxe360.1104,l10n_pe_oxe360.pe_sunat_ple_table01,13,TARJETAS DE CRÉDITO EMITIDAS EN EL EXTERIOR POR EMPRESAS BANCARIAS O FINANCIERAS NO DOMICILIADAS,0,,,0,False,0,False,True
l10n_pe_oxe360.1105,l10n_pe_oxe360.pe_sunat_ple_table01,101,TRANSFERENCIAS - COMERCIO EXTERIOR,0,,,0,False,0,False,True
l10n_pe_oxe360.1106,l10n_pe_oxe360.pe_sunat_ple_table01,102,CHEQUES BANCARIOS  - COMERCIO EXTERIOR,0,,,0,False,0,False,True
l10n_pe_oxe360.1107,l10n_pe_oxe360.pe_sunat_ple_table01,103,ORDEN DE PAGO SIMPLE  - COMERCIO EXTERIOR,0,,,0,False,0,False,True
l10n_pe_oxe360.1108,l10n_pe_oxe360.pe_sunat_ple_table01,104,ORDEN DE PAGO DOCUMENTARIO  - COMERCIO EXTERIOR,0,,,0,False,0,False,True
l10n_pe_oxe360.1109,l10n_pe_oxe360.pe_sunat_ple_table01,105,REMESA SIMPLE  - COMERCIO EXTERIOR,0,,,0,False,0,False,True
l10n_pe_oxe360.1110,l10n_pe_oxe360.pe_sunat_ple_table01,106,REMESA DOCUMENTARIA  - COMERCIO EXTERIOR,0,,,0,False,0,False,True
l10n_pe_oxe360.1111,l10n_pe_oxe360.pe_sunat_ple_table01,107,CARTA DE CRÉDITO SIMPLE  - COMERCIO EXTERIOR,0,,,0,False,0,False,True
l10n_pe_oxe360.1112,l10n_pe_oxe360.pe_sunat_ple_table01,108,CARTA DE CRÉDITO DOCUMENTARIO  - COMERCIO EXTERIOR,0,,,0,False,0,False,True
l10n_pe_oxe360.1113,l10n_pe_oxe360.pe_sunat_ple_table01,999,OTROS MEDIOS DE PAGO,0,,,0,False,0,False,True
l10n_pe_oxe360.1114,l10n_pe_oxe360.pe_sunat_ple_table02,0,OTROS TIPOS DE DOCUMENTOS,0,,,0,False,0,False,True
l10n_pe_oxe360.1115,l10n_pe_oxe360.pe_sunat_ple_table02,1,DOCUMENTO NACIONAL DE IDENTIDAD (DNI),0,,,0,False,0,False,True
l10n_pe_oxe360.1116,l10n_pe_oxe360.pe_sunat_ple_table02,4,CARNET DE EXTRANJERIA,0,,,0,False,0,False,True
l10n_pe_oxe360.1117,l10n_pe_oxe360.pe_sunat_ple_table02,6,REGISTRO ÚNICO DE CONTRIBUYENTES,0,,,0,False,0,False,True
l10n_pe_oxe360.1118,l10n_pe_oxe360.pe_sunat_ple_table02,7,PASAPORTE,0,,,0,False,0,False,True
l10n_pe_oxe360.1119,l10n_pe_oxe360.pe_sunat_ple_table02,A,CÉDULA DIPLOMÁTICA DE IDENTIDAD,0,,,0,False,0,False,True
l10n_pe_oxe360.1120,l10n_pe_oxe360.pe_sunat_ple_table03,1,CENTRAL RESERVA DEL PERU,0,,,0,False,0,False,True
l10n_pe_oxe360.1121,l10n_pe_oxe360.pe_sunat_ple_table03,2,DE CREDITO DEL PERU,0,,,0,False,0,False,True
l10n_pe_oxe360.1122,l10n_pe_oxe360.pe_sunat_ple_table03,3,INTERNACIONAL DEL PERU,0,,,0,False,0,False,True
l10n_pe_oxe360.1123,l10n_pe_oxe360.pe_sunat_ple_table03,5,LATINO,0,,,0,False,0,False,True
l10n_pe_oxe360.1124,l10n_pe_oxe360.pe_sunat_ple_table03,7,CITIBANK DEL PERU S.A.,0,,,0,False,0,False,True
l10n_pe_oxe360.1125,l10n_pe_oxe360.pe_sunat_ple_table03,8,STANDARD CHARTERED,0,,,0,False,0,False,True
l10n_pe_oxe360.1126,l10n_pe_oxe360.pe_sunat_ple_table03,9,SCOTIABANK PERU,0,,,0,False,0,False,True
l10n_pe_oxe360.1127,l10n_pe_oxe360.pe_sunat_ple_table03,11,CONTINENTAL,0,,,0,False,0,False,True
l10n_pe_oxe360.1128,l10n_pe_oxe360.pe_sunat_ple_table03,12,DE LIMA,0,,,0,False,0,False,True
l10n_pe_oxe360.1129,l10n_pe_oxe360.pe_sunat_ple_table03,16,MERCANTIL,0,,,0,False,0,False,True
l10n_pe_oxe360.1130,l10n_pe_oxe360.pe_sunat_ple_table03,18,NACION,0,,,0,False,0,False,True
l10n_pe_oxe360.1131,l10n_pe_oxe360.pe_sunat_ple_table03,22,SANTANDER CENTRAL HISPANO,0,,,0,False,0,False,True
l10n_pe_oxe360.1132,l10n_pe_oxe360.pe_sunat_ple_table03,23,DE COMERCIO,0,,,0,False,0,False,True
l10n_pe_oxe360.1133,l10n_pe_oxe360.pe_sunat_ple_table03,25,REPUBLICA,0,,,0,False,0,False,True
l10n_pe_oxe360.1134,l10n_pe_oxe360.pe_sunat_ple_table03,26,NBK BANK,0,,,0,False,0,False,True
l10n_pe_oxe360.1135,l10n_pe_oxe360.pe_sunat_ple_table03,29,BANCOSUR,0,,,0,False,0,False,True
l10n_pe_oxe360.1136,l10n_pe_oxe360.pe_sunat_ple_table03,35,FINANCIERO DEL PERU,0,,,0,False,0,False,True
l10n_pe_oxe360.1137,l10n_pe_oxe360.pe_sunat_ple_table03,37,DEL PROGRESO,0,,,0,False,0,False,True
l10n_pe_oxe360.1138,l10n_pe_oxe360.pe_sunat_ple_table03,38,INTERAMERICANO FINANZAS,0,,,0,False,0,False,True
l10n_pe_oxe360.1139,l10n_pe_oxe360.pe_sunat_ple_table03,39,BANEX,0,,,0,False,0,False,True
l10n_pe_oxe360.1140,l10n_pe_oxe360.pe_sunat_ple_table03,40,NUEVO MUNDO,0,,,0,False,0,False,True
l10n_pe_oxe360.1141,l10n_pe_oxe360.pe_sunat_ple_table03,41,SUDAMERICANO,0,,,0,False,0,False,True
l10n_pe_oxe360.1142,l10n_pe_oxe360.pe_sunat_ple_table03,42,DEL LIBERTADOR,0,,,0,False,0,False,True
l10n_pe_oxe360.1143,l10n_pe_oxe360.pe_sunat_ple_table03,43,DEL TRABAJO,0,,,0,False,0,False,True
l10n_pe_oxe360.1144,l10n_pe_oxe360.pe_sunat_ple_table03,44,SOLVENTA,0,,,0,False,0,False,True
